,metal,disco,classical,hiphop,jazz,country,pop,blues,reggae,rock
001. Imagine Dragons - Natural.mp3,0.021038489277935623,0.026289700504429147,0.05466076984767105,0.12964636884794345,0.24777705834677002,0.12997041646230675,0.20052598725612225,0.07847801664510723,0.01709501442727694,0.09451817133999373
002. Imagine Dragons - Believer.mp3,0.02720438638499744,0.02065134228966994,1.746000086644947e-08,0.5615304376145727,0.0042031288498095435,0.0061775967713710985,0.15879205688313386,0.03427951847945704,0.07180036200780275,0.11536113439021727
003. Coldplay - Viva La Vida.mp3,0.0026113985079638568,0.3864851451699475,0.0026820556189565588,0.00025530759535117767,0.0027402165868479524,0.1984842605249325,0.052826942085582564,0.005502416364676124,0.0050968191748037685,0.3433154438557961
004. Imagine Dragons - Radioactive (из фильма «Гостья»).mp3,0.05741809618016933,0.010868550878704378,2.580332663776126e-06,0.18421108068248845,0.01130291200000418,0.00761186827752559,0.3810509721699514,0.0013278910373149923,0.18201493288142956,0.16419110081225977
005. Queen - The Show Must Go On (Remastered 2011).mp3,0.02139438382130864,0.05378155851442563,0.010877817925996536,0.00598836663036644,0.04385200380286398,0.23078665182631658,0.1997541190174065,0.02361981891398931,0.02277953836968855,0.38716574326941844
006. Red Hot Chili Peppers - Californication.mp3,0.0026594670472751374,0.009399283262945047,4.6532868648365914e-10,0.007707497682489654,0.02230345430858524,0.23791269330601944,0.05974290436317556,0.3795384652912617,0.04642924058536162,0.23430699650443307
007. Limp Bizkit - Behind Blue Eyes (The Who cover).mp3,0.0010791118928667027,0.007372202228990105,0.04962956979597177,0.000529040817750478,0.09346461587209601,0.6002833957797308,0.07396448636178607,0.04793139804231647,0.005769136434123507,0.11997707077390068
008. Queen - Bohemian Rhapsody (Remastered 2011).mp3,0.05089555257118742,0.043649548084910124,0.059709991267651516,0.020992934340029024,0.2527388835105261,0.15792760338732287,0.03140705942764486,0.07791838763085635,0.041953202422806306,0.2628068382557678
"009. Bring Me The Horizon, Dani Filth, Simon Dobson, Ch - wonderful life.mp3",0.938055716062847,7.533723346628712e-05,6.3488312211013595e-09,0.004055605983778246,7.972131624839931e-06,1.4536971234272767e-06,0.036451598568200884,2.048432446271152e-06,9.987615391494094e-05,0.021250352837485383
01. Монеточка - Каждый раз.mp3,4.582061435606762e-06,0.09838352848141528,8.262351905986341e-24,0.0869199855583965,5.151568926655585e-13,1.6155208839575905e-06,0.7372964079442778,8.346638944314135e-05,0.07550796095012247,0.0018024464339979676
